epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93495,0.5256,3.55782,1.04584,0.00414,0.66667,0.4975,0.36483,0.2408,3.79537,0.77175,0,0,0
2,2.94461,0.53244,3.41868,1.08166,0.00418,0.66667,0.4975,0.398,0.24281,3.79602,0.76916,1.18812e-05,1.18812e-05,1.18812e-05
3,3.80545,0.54832,3.45694,0.94969,0.00423,0.66667,0.66333,0.597,0.2447,3.79538,0.78532,2.2525e-05,2.2525e-05,2.2525e-05
4,4.71008,0.37763,3.10092,0.87901,0.00448,0.66667,0.66333,0.597,0.25841,3.79053,0.78056,3.19313e-05,3.19313e-05,3.19313e-05
5,5.52453,0.59633,3.14042,1.03464,0.00472,0.66667,0.66333,0.63017,0.27325,3.78932,0.78672,4.01e-05,4.01e-05,4.01e-05
6,6.37637,0.63897,3.21373,1.02279,0.00497,0.66667,0.66333,0.597,0.28511,3.79562,0.78906,4.70313e-05,4.70313e-05,4.70313e-05
7,7.19116,0.68296,3.30286,0.98762,0.00513,0.66667,0.66333,0.66333,0.29562,3.79885,0.78397,5.2725e-05,5.2725e-05,5.2725e-05
8,8.0476,0.40737,3.4371,1.17297,0.00547,0.66667,0.66333,0.66333,0.30971,3.79625,0.79391,5.71813e-05,5.71813e-05,5.71813e-05
9,8.9261,0.51788,3.57325,0.99694,0.00588,0.66667,0.66333,0.63017,0.32967,3.79669,0.78703,6.04e-05,6.04e-05,6.04e-05
10,9.69756,0.51592,3.05395,0.96435,0.00602,0.66667,0.66333,0.63017,0.33726,3.79361,0.78641,6.23813e-05,6.23813e-05,6.23813e-05
11,10.4967,0.50762,3.55128,0.88073,0.00663,0.66667,0.66333,0.66333,0.33633,3.78298,0.78057,6.3125e-05,6.3125e-05,6.3125e-05
12,11.2856,0.47369,3.6592,0.87467,0.00686,0.66667,0.66333,0.66333,0.33461,3.77579,0.77592,6.26313e-05,6.26313e-05,6.26313e-05
13,12.0642,0.45403,3.58555,0.81789,0.00689,0.66667,0.66333,0.66333,0.31652,3.75792,0.76398,6.09e-05,6.09e-05,6.09e-05
14,12.8343,0.39973,3.47461,0.77141,0.00689,0.66667,0.66333,0.66333,0.30306,3.7577,0.76478,5.79313e-05,5.79313e-05,5.79313e-05
15,13.6052,0.34959,3.19788,0.92752,0.00707,0.66667,0.66333,0.66333,0.30757,3.76553,0.76528,5.3725e-05,5.3725e-05,5.3725e-05
16,14.4133,0.46275,3.19372,0.83245,0.00726,0.66667,0.66333,0.66333,0.31898,3.75954,0.76842,4.82812e-05,4.82812e-05,4.82812e-05
17,15.2444,0.29736,3.06433,1.07123,0.00744,0.66667,0.66333,0.66333,0.3276,3.73795,0.76993,4.16e-05,4.16e-05,4.16e-05
18,16.0201,0.26415,2.50718,0.87136,0.00744,0.66667,0.66333,0.66333,0.3276,3.73795,0.76993,3.36813e-05,3.36813e-05,3.36813e-05
19,16.9622,0.45347,2.80976,0.91172,0.00764,0.66667,0.66333,0.66333,0.334,3.7253,0.77067,2.4525e-05,2.4525e-05,2.4525e-05
20,17.7257,0.36997,3.07315,0.89013,0.00764,0.66667,0.66333,0.66333,0.334,3.7253,0.77067,1.41313e-05,1.41313e-05,1.41313e-05
