epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6,4.29355,15.5265,3.75275,0.0004,0.33333,0.00071,7e-05,4.55374,24.0636,4.7138,0,0,0
2,20.11,4.08697,16.5534,3.26212,0,0,0,0,4.6533,23.341,4.11781,1.28753e-05,1.28753e-05,1.28753e-05
3,25.3318,3.75752,16.0039,3.43139,0,0,0,0,4.73434,23.9799,4.29968,2.29212e-05,2.29212e-05,2.29212e-05
4,30.4214,4.88294,21.175,4.47508,0,0,0,0,4.83191,24.3567,4.48119,3.01376e-05,3.01376e-05,3.01376e-05
5,36.2851,2.91853,13.3257,3.099,0,0,0,0,4.71047,25.4972,4.26733,3.45246e-05,3.45246e-05,3.45246e-05
6,42.2098,4.00718,17.9714,3.29019,0,0,0,0,4.57487,26.0427,4.30571,3.60822e-05,3.60822e-05,3.60822e-05
7,53.656,3.24958,14.9699,3.31,0,0,0,0,4.61882,21.4205,4.31698,3.48104e-05,3.48104e-05,3.48104e-05
8,64.8244,3.40893,11.131,2.92548,0,0,0,0,4.45188,22.3362,4.21784,3.07092e-05,3.07092e-05,3.07092e-05
9,75.1637,2.62027,10.3361,2.63047,0,0,0,0,4.4341,22.0552,4.22545,2.37786e-05,2.37786e-05,2.37786e-05
10,86.4491,2.86464,13.2479,2.66555,0,0,0,0,4.42388,21.5999,4.22561,1.40185e-05,1.40185e-05,1.40185e-05
